10 1.74384e-05 1.70051e-05 1.78754e-05
20 1.73791e-05 1.69472e-05 1.78147e-05
30 1.73684e-05 1.69367e-05 1.78036e-05
40 1.73647e-05 1.69331e-05 1.77998e-05
50 1.73630e-05 1.69315e-05 1.77981e-05
60 1.73620e-05 1.69306e-05 1.77971e-05
70 1.73614e-05 1.69300e-05 1.77965e-05
80 1.73611e-05 1.69296e-05 1.77962e-05
90 1.73609e-05 1.69294e-05 1.77959e-05
100 1.73607e-05 1.69292e-05 1.77957e-05
110 1.73606e-05 1.69291e-05 1.77956e-05
120 1.73604e-05 1.69290e-05 1.77955e-05
130 1.73603e-05 1.69289e-05 1.77954e-05
140 1.73602e-05 1.69288e-05 1.77952e-05
150 1.73604e-05 1.69289e-05 1.77954e-05
160 1.73603e-05 1.69288e-05 1.77953e-05
170 1.73602e-05 1.69288e-05 1.77952e-05
180 1.73602e-05 1.69287e-05 1.77952e-05
190 1.73601e-05 1.69287e-05 1.77951e-05
200 1.73601e-05 1.69287e-05 1.77951e-05
