10 1.65987e-05 1.61862e-05 1.70146e-05
20 1.63701e-05 1.59634e-05 1.67803e-05
30 1.61568e-05 1.57554e-05 1.65616e-05
40 1.60063e-05 1.56086e-05 1.64073e-05
50 1.58812e-05 1.54866e-05 1.62790e-05
60 1.57961e-05 1.54036e-05 1.61918e-05
70 1.57277e-05 1.53369e-05 1.61217e-05
80 1.56712e-05 1.52818e-05 1.60638e-05
90 1.56185e-05 1.52305e-05 1.60098e-05
100 1.55788e-05 1.51917e-05 1.59691e-05
110 1.55446e-05 1.51584e-05 1.59340e-05
120 1.55147e-05 1.51292e-05 1.59033e-05
130 1.54853e-05 1.51005e-05 1.58732e-05
140 1.54622e-05 1.50781e-05 1.58496e-05
150 1.54416e-05 1.50580e-05 1.58285e-05
160 1.54230e-05 1.50398e-05 1.58094e-05
170 1.54042e-05 1.50215e-05 1.57901e-05
180 1.53890e-05 1.50066e-05 1.57745e-05
190 1.53751e-05 1.49931e-05 1.57603e-05
200 1.53624e-05 1.49808e-05 1.57473e-05
220 1.53386e-05 1.49575e-05 1.57229e-05
240 1.53193e-05 1.49387e-05 1.57031e-05
260 1.53017e-05 1.49215e-05 1.56850e-05
280 1.52871e-05 1.49073e-05 1.56701e-05
300 1.52735e-05 1.48940e-05 1.56561e-05
350 1.52464e-05 1.48677e-05 1.56284e-05
400 1.52255e-05 1.48472e-05 1.56069e-05
450 1.52088e-05 1.48309e-05 1.55898e-05
500 1.51951e-05 1.48176e-05 1.55758e-05
