10 1.78764e-05 1.74322e-05 1.83244e-05
20 1.77356e-05 1.72949e-05 1.81801e-05
30 1.76454e-05 1.72068e-05 1.80875e-05
40 1.75832e-05 1.71462e-05 1.80238e-05
50 1.75344e-05 1.70986e-05 1.79738e-05
60 1.75000e-05 1.70651e-05 1.79386e-05
70 1.74728e-05 1.70386e-05 1.79107e-05
80 1.74507e-05 1.70170e-05 1.78880e-05
90 1.74321e-05 1.69989e-05 1.78690e-05
100 1.74152e-05 1.69824e-05 1.78517e-05
110 1.74020e-05 1.69696e-05 1.78381e-05
120 1.73906e-05 1.69584e-05 1.78264e-05
130 1.73805e-05 1.69485e-05 1.78160e-05
140 1.73709e-05 1.69392e-05 1.78062e-05
150 1.73630e-05 1.69315e-05 1.77981e-05
160 1.73560e-05 1.69246e-05 1.77909e-05
170 1.73496e-05 1.69184e-05 1.77844e-05
180 1.73438e-05 1.69128e-05 1.77785e-05
190 1.73382e-05 1.69073e-05 1.77727e-05
200 1.73334e-05 1.69026e-05 1.77678e-05
220 1.73250e-05 1.68944e-05 1.77592e-05
240 1.73175e-05 1.68872e-05 1.77515e-05
260 1.73113e-05 1.68811e-05 1.77451e-05
280 1.73057e-05 1.68756e-05 1.77394e-05
300 1.73010e-05 1.68710e-05 1.77345e-05
350 1.72911e-05 1.68614e-05 1.77244e-05
400 1.72835e-05 1.68540e-05 1.77166e-05
450 1.72775e-05 1.68481e-05 1.77104e-05
500 1.72726e-05 1.68433e-05 1.77054e-05
