10 1.55225e-05 1.51368e-05 1.59114e-05
20 1.54592e-05 1.50751e-05 1.58464e-05
30 1.54483e-05 1.50645e-05 1.58354e-05
40 1.54434e-05 1.50597e-05 1.58302e-05
50 1.54416e-05 1.50580e-05 1.58285e-05
60 1.54407e-05 1.50571e-05 1.58276e-05
70 1.54400e-05 1.50564e-05 1.58269e-05
80 1.54396e-05 1.50560e-05 1.58264e-05
90 1.54392e-05 1.50556e-05 1.58260e-05
100 1.54391e-05 1.50555e-05 1.58259e-05
110 1.54391e-05 1.50555e-05 1.58258e-05
120 1.54388e-05 1.50553e-05 1.58256e-05
130 1.54388e-05 1.50553e-05 1.58256e-05
140 1.54387e-05 1.50551e-05 1.58255e-05
150 1.54388e-05 1.50552e-05 1.58255e-05
160 1.54386e-05 1.50551e-05 1.58254e-05
170 1.54386e-05 1.50550e-05 1.58254e-05
180 1.54385e-05 1.50550e-05 1.58253e-05
190 1.54386e-05 1.50550e-05 1.58253e-05
200 1.54385e-05 1.50550e-05 1.58253e-05
